,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
meanUtilByGroup_1_Basic23,7409,9348.2,10546.2,11474,12138.2,12689.6,13083.2,13567.4,13681.6,14874.6,15723,16386,17193.6,18971.4,22878.4,23904.8,25796.2,25968.2,28029.2,30921.8,31657.4,34415.8,36350.8,39947.4,43427,44651,47008.8,50684,52987,53349.2,57933.8,61484.4,65774.6,65438.6,65611.8,64340,69101.4,68260,69692.8,68644,67285,67304.2,73008.8,78740.8,80100.6,74842.6,74534.2,78310,80786.6,83081,79112.2,76661.6,84324.4,81532,79635.4,81865.6,83849.8,86762,83795.2,80695,84068.8,90273.8,84967.8,79046.4,81109.2,84365,81527.4,80354,79741.8,86866.8,86064.2,80609.4,80783.2,83396.8,85802.4,80145.2,80652.8,83340.2,88630.2,85984.2,79723,81647.2,85171.8,85606.2,82794.6,79563.2,83507.6,88762.2,83072,80784.2,83303.8,88681.4,85106.4,80235.4,84120.8,88165,82622.4,82681.6,81693.6,83057,

meanUtilPerAgent,7409,9416.13,10589.9,11484.9,12131.9,12647.5,13001.1,13008.3,13396.3,14098.4,17251.1,18195.1,18499.3,21489.5,24102.8,27411,29538.1,31636.3,34775.9,37585.4,42116,45689.7,49561.6,51462.9,55266.1,57997.9,61084,62628.3,64617.7,67291.6,66307.1,67642.8,73353.7,72062.5,72369.4,72338.6,74532.8,73012.7,73333.8,75688.7,77998.5,80621.6,78950,78418.2,80012.4,80685,78491.9,79207.8,81741.5,81561,79784.9,81362.7,82251.8,82274.2,80454.8,82620.9,82669.3,81722.9,80947,82090.5,81252.5,81926,83313.7,85062.4,83011.6,82721.7,82015,82190.3,83405.9,83393.2,81874.2,83113.7,83875.3,81198.8,80348.9,82565.8,81964.1,81557.2,80739.9,82489.9,81290.3,83344.5,83157.6,81354.1,82243.5,84408,82558.1,82870.7,82756.5,84757.1,84181,84752.6,84921.7,85281.8,83977,83063.3,82769.9,84008.5,83793.3,81991.5,
meanUtilByGroup_0_Basic23,7409,9416.13,10589.9,11484.9,12131.9,12647.5,13001.1,13008.3,13396.3,14098.4,17251.1,18195.1,18499.3,21489.5,24102.8,27411,29538.1,31636.3,34775.9,37585.4,42116,45689.7,49561.6,51462.9,55266.1,57997.9,61084,62628.3,64617.7,67291.6,66307.1,67642.8,73353.7,72062.5,72369.4,72338.6,74532.8,73012.7,73333.8,75688.7,77998.5,80621.6,78950,78418.2,80012.4,80685,78491.9,79207.8,81741.5,81561,79784.9,81362.7,82251.8,82274.2,80454.8,82620.9,82669.3,81722.9,80947,82090.5,81252.5,81926,83313.7,85062.4,83011.6,82721.7,82015,82190.3,83405.9,83393.2,81874.2,83113.7,83875.3,81198.8,80348.9,82565.8,81964.1,81557.2,80739.9,82489.9,81290.3,83344.5,83157.6,81354.1,82243.5,84408,82558.1,82870.7,82756.5,84757.1,84181,84752.6,84921.7,85281.8,83977,83063.3,82769.9,84008.5,83793.3,81991.5,
meanUtilByGroup_1_Basic23,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,

meanUtilPerAgent,7409,9401.8,10064.5,11281.7,12378,13124.5,13846.1,13991.1,14391.5,15911.9,16965.8,17856.1,18784.4,19615.5,20120,21743.5,23028.4,24958.5,27215,28933.5,30836,34649.5,36391.1,40525.3,42508.1,44221.4,47911.2,50284.3,55358.6,56938.2,57611.1,61558.9,65169.6,69155.7,70459.9,72871.3,73872.6,75713.4,78410.9,76242.3,75288.7,77434.5,81627.4,78902.3,83238.1,82638.9,84197.7,83772.5,81281.6,80609.5,81438.5,84323,83079.9,82337.8,82455.6,83070,81049.7,79225.8,79233.2,80565.7,81210.7,81355.7,80308.1,80867.5,83589.7,83910.1,82370.3,86056.4,84464.2,84253.2,83105.9,82037.3,81962.9,83827.9,81170.1,80782.4,81948.5,85006,84838.2,84499.5,83734.7,86503.1,82634,82991.5,83989.7,83550.3,84670.6,83198.1,83634.1,83670.3,82817.5,84046.2,84526.7,86606.5,85272,83196.7,84370.1,86060.3,83752.2,83818.1,
meanUtilByGroup_0_Basic23,7409,9401.8,10064.5,11281.7,12378,13124.5,13846.1,13991.1,14391.5,15911.9,16965.8,17856.1,18784.4,19615.5,20120,21743.5,23028.4,24958.5,27215,28933.5,30836,34649.5,36391.1,40525.3,42508.1,44221.4,47911.2,50284.3,55358.6,56938.2,57611.1,61558.9,65169.6,69155.7,70459.9,72871.3,73872.6,75713.4,78410.9,76242.3,75288.7,77434.5,81627.4,78902.3,83238.1,82638.9,84197.7,83772.5,81281.6,80609.5,81438.5,84323,83079.9,82337.8,82455.6,83070,81049.7,79225.8,79233.2,80565.7,81210.7,81355.7,80308.1,80867.5,83589.7,83910.1,82370.3,86056.4,84464.2,84253.2,83105.9,82037.3,81962.9,83827.9,81170.1,80782.4,81948.5,85006,84838.2,84499.5,83734.7,86503.1,82634,82991.5,83989.7,83550.3,84670.6,83198.1,83634.1,83670.3,82817.5,84046.2,84526.7,86606.5,85272,83196.7,84370.1,86060.3,83752.2,83818.1,
meanUtilByGroup_1_Basic23,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,

meanUtilPerAgent,7409,9405.87,10616.1,11464.7,12114.6,12604.9,13060.4,13522,13979.5,12270.7,14967.5,16229.6,17063.1,18735.7,21088.4,22377.5,24675.3,25836.3,28464.5,32225.7,35444.5,38532.1,42896.5,45883.3,49652.3,52418.5,55371.1,58301.2,60409.5,61161.7,62876.2,63675.9,64101.2,65670.7,67225.6,68911.5,69319.8,72292.4,69805.3,71754.5,75310.1,76260.9,74367.4,76198.6,79092.5,77484.4,76329.6,77680.4,78957.2,78908.5,76887.5,79545.2,79349.1,80056.1,78596.1,82614.1,80601.8,81401.9,81869.1,82047,83841.1,82510.5,84723.5,81834.1,83165.5,82691.6,81768.2,80770.3,83009.1,86492.5,84264,81986.7,83255.3,85450.3,84474.9,83922.3,82823.9,84503.5,85846.2,85730.5,84119.1,84161.6,82059.4,82917.1,83850.3,85564.5,84703.2,84671,83877,86510.9,87047.9,83294.9,83987,87000.4,87261.8,85212.7,83850.5,85123.3,87930.7,84714.3,
meanUtilByGroup_0_Basic23,7409,9405.87,10616.1,11464.7,12114.6,12604.9,13060.4,13522,13979.5,12270.7,14967.5,16229.6,17063.1,18735.7,21088.4,22377.5,24675.3,25836.3,28464.5,32225.7,35444.5,38532.1,42896.5,45883.3,49652.3,52418.5,55371.1,58301.2,60409.5,61161.7,62876.2,63675.9,64101.2,65670.7,67225.6,68911.5,69319.8,72292.4,69805.3,71754.5,75310.1,76260.9,74367.4,76198.6,79092.5,77484.4,76329.6,77680.4,78957.2,78908.5,76887.5,79545.2,79349.1,80056.1,78596.1,82614.1,80601.8,81401.9,81869.1,82047,83841.1,82510.5,84723.5,81834.1,83165.5,82691.6,81768.2,80770.3,83009.1,86492.5,84264,81986.7,83255.3,85450.3,84474.9,83922.3,82823.9,84503.5,85846.2,85730.5,84119.1,84161.6,82059.4,82917.1,83850.3,85564.5,84703.2,84671,83877,86510.9,87047.9,83294.9,83987,87000.4,87261.8,85212.7,83850.5,85123.3,87930.7,84714.3,

meanUtilPerAgent,7409,9420.27,10642.1,11495.7,12188.8,12718.8,13132.7,12165.9,13928.7,14270.9,15268.6,16151.1,19089.1,20733.1,23482.5,25168.1,27574.2,30146.5,32712.5,34524.1,36256.4,37937.9,42248.1,45183.4,48163.2,50698.9,52777.9,56002,57569.4,60204.1,61233.5,64697.2,66234.1,65910.1,67480.1,68017.4,71709.9,70975.7,69766.7,73678.9,74890.7,74116.6,75428.3,74698,77921.9,79898.8,80334.9,80540.7,81568.3,80922.5,80272,78751.6,81931.4,82322.9,81498,80014.5,81810.8,83955.4,82779.7,83459.3,83470.6,83254.1,84415.1,84270.9,83153.7,83965.4,85138.1,85205.6,82511.3,82680.1,86152.1,86483.3,84412.6,84438.9,88736.8,85417.7,83714.1,83946.4,84887.1,84936,88156.7,87028.7,84633.5,85619.5,87054.5,83850.3,84588.5,85441.2,86799.7,84161.7,84403.6,88664.1,84369.5,81117.6,82884.7,86075.9,84019.5,82614.1,83275.7,86046,
meanUtilByGroup_0_Basic23,7409,9420.27,10642.1,11495.7,12188.8,12718.8,13132.7,12165.9,13928.7,14270.9,15268.6,16151.1,19089.1,20733.1,23482.5,25168.1,27574.2,30146.5,32712.5,34524.1,36256.4,37937.9,42248.1,45183.4,48163.2,50698.9,52777.9,56002,57569.4,60204.1,61233.5,64697.2,66234.1,65910.1,67480.1,68017.4,71709.9,70975.7,69766.7,73678.9,74890.7,74116.6,75428.3,74698,77921.9,79898.8,80334.9,80540.7,81568.3,80922.5,80272,78751.6,81931.4,82322.9,81498,80014.5,81810.8,83955.4,82779.7,83459.3,83470.6,83254.1,84415.1,84270.9,83153.7,83965.4,85138.1,85205.6,82511.3,82680.1,86152.1,86483.3,84412.6,84438.9,88736.8,85417.7,83714.1,83946.4,84887.1,84936,88156.7,87028.7,84633.5,85619.5,87054.5,83850.3,84588.5,85441.2,86799.7,84161.7,84403.6,88664.1,84369.5,81117.6,82884.7,86075.9,84019.5,82614.1,83275.7,86046,

