,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
giniByGoup 1,,0.0043013,0.00631464,0.00665839,0.00781008,0.00807154,0.00556988,0.00433599,0.00975415,0.00948527,0.00749708,0.0103573,0.010291,0.0134369,0.0302178,0.0274888,0.0196825,0.0235548,0.0312589,0.0216642,0.00395814,0.00914629,0.0111827,0.015865,0.0260261,0.0345485,0.035337,0.0312206,0.0186478,0.0234059,0.0266194,0.0289921,0.0334306,0.032847,0.0327079,0.0206731,0.0225962,0.0319228,0.0264031,0.0333805,0.054162,0.0580079,0.0601551,0.0434791,0.0424495,0.0316497,0.0357161,0.0247889,0.00687595,0.00831509,0.00511742,0.0263209,0.0228743,0.00318675,0.0169788,0.0280623,0.0190633,0.0108827,0.010735,0.015226,0.0245912,0.0227227,0.0150208,0.015709,0.0172095,0.0129564,0.011758,0.00520049,0.024761,0.0206674,0.0108966,0.0261583,0.0250302,0.0180051,0.0139781,0.0192321,0.0117583,0.0120204,0.0144909,0.0137874,0.0137183,0.0193064,0.0121883,0.0146795,0.0189134,0.0173129,0.0106251,0.0119238,0.0177504,0.0141929,0.0141729,0.0187003,0.0152257,0.0160139,0.0211638,0.0120853,0.0147969,0.0185016,0.0150845,,

giniPerAgent,,0.00389827,0.00562081,0.00680828,0.00721321,0.00767945,0.0120447,0.0171752,0.0135066,0.0149453,0.0143418,0.0241252,0.0242102,0.031034,0.0332731,0.026734,0.0230343,0.0255838,0.0240235,0.025425,0.033274,0.0384105,0.0429275,0.0329642,0.0358821,0.0463815,0.0575742,0.061525,0.0548064,0.0617494,0.0696796,0.0657478,0.0547773,0.0462751,0.0388877,0.0281318,0.0325548,0.047711,0.0556872,0.0472291,0.0361559,0.0355359,0.0438217,0.041952,0.0337599,0.0290306,0.0278012,0.0319841,0.0395704,0.0430015,0.0391521,0.0380766,0.0354745,0.0389863,0.0439932,0.0439928,0.0344763,0.0303036,0.0284098,0.0400545,0.0426834,0.0485538,0.052102,0.0494416,0.0407122,0.0437254,0.0386781,0.0418595,0.037301,0.0405895,0.0340585,0.0354849,0.0341041,0.0281879,0.0255542,0.0245462,0.0163252,0.0129519,0.0218101,0.0258324,0.0282625,0.0244347,0.0270425,0.0322262,0.0314415,0.0330701,0.0332776,0.0276363,0.0256682,0.0269976,0.0308937,0.0387095,0.0407578,0.035988,0.0272414,0.0259951,0.0239977,0.0200089,0.0229189,,
giniByGoup 0,,0.00389827,0.00562081,0.00680828,0.00721321,0.00767945,0.0120447,0.0171752,0.0135066,0.0149453,0.0143418,0.0241252,0.0242102,0.031034,0.0332731,0.026734,0.0230343,0.0255838,0.0240235,0.025425,0.033274,0.0384105,0.0429275,0.0329642,0.0358821,0.0463815,0.0575742,0.061525,0.0548064,0.0617494,0.0696796,0.0657478,0.0547773,0.0462751,0.0388877,0.0281318,0.0325548,0.047711,0.0556872,0.0472291,0.0361559,0.0355359,0.0438217,0.041952,0.0337599,0.0290306,0.0278012,0.0319841,0.0395704,0.0430015,0.0391521,0.0380766,0.0354745,0.0389863,0.0439932,0.0439928,0.0344763,0.0303036,0.0284098,0.0400545,0.0426834,0.0485538,0.052102,0.0494416,0.0407122,0.0437254,0.0386781,0.0418595,0.037301,0.0405895,0.0340585,0.0354849,0.0341041,0.0281879,0.0255542,0.0245462,0.0163252,0.0129519,0.0218101,0.0258324,0.0282625,0.0244347,0.0270425,0.0322262,0.0314415,0.0330701,0.0332776,0.0276363,0.0256682,0.0269976,0.0308937,0.0387095,0.0407578,0.035988,0.0272414,0.0259951,0.0239977,0.0200089,0.0229189,,
giniByGoup 1,,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,,

giniPerAgent,,0.0088901,0.0115745,0.0128533,0.00955795,0.00831903,0.00898227,0.0108577,0.0137027,0.0137623,0.00968664,0.00712702,0.00606149,0.0065327,0.014963,0.0329375,0.0385037,0.0415318,0.0332177,0.0371422,0.0372031,0.0303826,0.0260543,0.0273078,0.025081,0.0241755,0.021246,0.026418,0.032424,0.0306781,0.0242203,0.0243437,0.0443438,0.0577649,0.0552518,0.0438534,0.0377014,0.0378482,0.036179,0.0367067,0.0467384,0.0428065,0.0392513,0.0330337,0.0342265,0.0378875,0.0441999,0.0466069,0.0487622,0.0414175,0.0303398,0.0284676,0.0299976,0.037979,0.0367202,0.0295588,0.0258993,0.0268372,0.023798,0.0236852,0.0268827,0.0319721,0.0254025,0.0220565,0.0267081,0.0225577,0.0252594,0.0251535,0.023222,0.0355691,0.028631,0.031546,0.0269477,0.0215486,0.0302397,0.0323869,0.0278677,0.0326081,0.0380404,0.0353493,0.0246887,0.0225914,0.017079,0.0181932,0.0195924,0.0311329,0.0268002,0.022746,0.0222298,0.0212348,0.0269609,0.0297237,0.0287753,0.0245833,0.0201846,0.020065,0.0204893,0.0245822,0.0235672,,
giniByGoup 0,,0.0088901,0.0115745,0.0128533,0.00955795,0.00831903,0.00898227,0.0108577,0.0137027,0.0137623,0.00968664,0.00712702,0.00606149,0.0065327,0.014963,0.0329375,0.0385037,0.0415318,0.0332177,0.0371422,0.0372031,0.0303826,0.0260543,0.0273078,0.025081,0.0241755,0.021246,0.026418,0.032424,0.0306781,0.0242203,0.0243437,0.0443438,0.0577649,0.0552518,0.0438534,0.0377014,0.0378482,0.036179,0.0367067,0.0467384,0.0428065,0.0392513,0.0330337,0.0342265,0.0378875,0.0441999,0.0466069,0.0487622,0.0414175,0.0303398,0.0284676,0.0299976,0.037979,0.0367202,0.0295588,0.0258993,0.0268372,0.023798,0.0236852,0.0268827,0.0319721,0.0254025,0.0220565,0.0267081,0.0225577,0.0252594,0.0251535,0.023222,0.0355691,0.028631,0.031546,0.0269477,0.0215486,0.0302397,0.0323869,0.0278677,0.0326081,0.0380404,0.0353493,0.0246887,0.0225914,0.017079,0.0181932,0.0195924,0.0311329,0.0268002,0.022746,0.0222298,0.0212348,0.0269609,0.0297237,0.0287753,0.0245833,0.0201846,0.020065,0.0204893,0.0245822,0.0235672,,
giniByGoup 1,,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,,

giniPerAgent,,0.00307682,0.00496041,0.00570109,0.00605175,0.00682386,0.00825461,0.0101387,0.0163026,0.0207122,0.019511,0.0132029,0.0098599,0.0111002,0.0209258,0.0243863,0.0264633,0.0239879,0.0222271,0.0307016,0.0409744,0.0487656,0.042235,0.036192,0.0296598,0.0282672,0.0312252,0.0320096,0.0293062,0.0281689,0.025798,0.0271315,0.0299534,0.0333584,0.030538,0.0407088,0.0441641,0.055673,0.0611828,0.0662937,0.0578461,0.0556544,0.0504481,0.0431117,0.0362568,0.033239,0.0343036,0.0339309,0.0344354,0.0395465,0.0398039,0.0336201,0.0262895,0.0293549,0.0269828,0.0263872,0.0282968,0.0321806,0.0358316,0.0371416,0.0271733,0.0256289,0.0284533,0.0293261,0.024845,0.0246374,0.0275632,0.0310954,0.0329317,0.0339827,0.0306788,0.030598,0.0303554,0.0249047,0.0313615,0.0355603,0.0270668,0.0210863,0.0276373,0.0337781,0.0275107,0.0217433,0.0224567,0.0313011,0.0268338,0.0222816,0.0176387,0.0221258,0.025794,0.0299794,0.0289932,0.027308,0.0278874,0.0268467,0.031065,0.0345778,0.0327512,0.021755,0.0236994,,
giniByGoup 0,,0.00307682,0.00496041,0.00570109,0.00605175,0.00682386,0.00825461,0.0101387,0.0163026,0.0207122,0.019511,0.0132029,0.0098599,0.0111002,0.0209258,0.0243863,0.0264633,0.0239879,0.0222271,0.0307016,0.0409744,0.0487656,0.042235,0.036192,0.0296598,0.0282672,0.0312252,0.0320096,0.0293062,0.0281689,0.025798,0.0271315,0.0299534,0.0333584,0.030538,0.0407088,0.0441641,0.055673,0.0611828,0.0662937,0.0578461,0.0556544,0.0504481,0.0431117,0.0362568,0.033239,0.0343036,0.0339309,0.0344354,0.0395465,0.0398039,0.0336201,0.0262895,0.0293549,0.0269828,0.0263872,0.0282968,0.0321806,0.0358316,0.0371416,0.0271733,0.0256289,0.0284533,0.0293261,0.024845,0.0246374,0.0275632,0.0310954,0.0329317,0.0339827,0.0306788,0.030598,0.0303554,0.0249047,0.0313615,0.0355603,0.0270668,0.0210863,0.0276373,0.0337781,0.0275107,0.0217433,0.0224567,0.0313011,0.0268338,0.0222816,0.0176387,0.0221258,0.025794,0.0299794,0.0289932,0.027308,0.0278874,0.0268467,0.031065,0.0345778,0.0327512,0.021755,0.0236994,,

giniPerAgent_Basic23,,0.00372848,0.00450667,0.00470408,0.00499783,0.00488721,0.0105874,0.0158688,0.0187892,0.0156862,0.0287899,0.027767,0.0308091,0.0271785,0.0271945,0.03018,0.0319355,0.0346498,0.029961,0.0274783,0.0318476,0.0296968,0.0225119,0.0194091,0.0227592,0.0282994,0.0312565,0.0289155,0.0280592,0.027535,0.0340946,0.0386082,0.0477096,0.0447877,0.0423306,0.0399107,0.0346959,0.0351735,0.0286731,0.0394957,0.0430837,0.0357087,0.0301305,0.0309174,0.0439715,0.0361508,0.0391055,0.0439796,0.0411689,0.0365716,0.0325846,0.0273124,0.0274387,0.0268588,0.025932,0.029189,0.022637,0.0386915,0.0481865,0.0481209,0.042311,0.0425084,0.0471794,0.0412725,0.0330259,0.0305829,0.0399368,0.0444705,0.0505764,0.0457093,0.0394616,0.0362569,0.0411005,0.0457045,0.0430524,0.0358814,0.0344098,0.0288962,0.0306895,0.0339529,0.0494956,0.0524072,0.0497094,0.0394549,0.0382887,0.0409971,0.0327115,0.0273091,0.0329871,0.0411518,0.0461969,0.0335657,0.0273036,0.0259755,0.0278524,0.0284976,0.0347655,0.0431879,0.0400473,,
giniByGoup 0,,0.00372848,0.00450667,0.00470408,0.00499783,0.00488721,0.0105874,0.0158688,0.0187892,0.0156862,0.0287899,0.027767,0.0308091,0.0271785,0.0271945,0.03018,0.0319355,0.0346498,0.029961,0.0274783,0.0318476,0.0296968,0.0225119,0.0194091,0.0227592,0.0282994,0.0312565,0.0289155,0.0280592,0.027535,0.0340946,0.0386082,0.0477096,0.0447877,0.0423306,0.0399107,0.0346959,0.0351735,0.0286731,0.0394957,0.0430837,0.0357087,0.0301305,0.0309174,0.0439715,0.0361508,0.0391055,0.0439796,0.0411689,0.0365716,0.0325846,0.0273124,0.0274387,0.0268588,0.025932,0.029189,0.022637,0.0386915,0.0481865,0.0481209,0.042311,0.0425084,0.0471794,0.0412725,0.0330259,0.0305829,0.0399368,0.0444705,0.0505764,0.0457093,0.0394616,0.0362569,0.0411005,0.0457045,0.0430524,0.0358814,0.0344098,0.0288962,0.0306895,0.0339529,0.0494956,0.0524072,0.0497094,0.0394549,0.0382887,0.0409971,0.0327115,0.0273091,0.0329871,0.0411518,0.0461969,0.0335657,0.0273036,0.0259755,0.0278524,0.0284976,0.0347655,0.0431879,0.0400473,,

